"Wavelength","Reflectance","status"
485.002402927136,0.148811820328187,"dry"
486.002402927136,0.149941292992135,"dry"
487.002402927136,0.150838644235691,"dry"
488.002402927136,0.151629674053332,"dry"
489.002402927136,0.152408447403495,"dry"
490.002402927136,0.152977640722572,"dry"
491.002402927136,0.153187793686829,"dry"
492.002402927136,0.153462622979242,"dry"
493.002402927136,0.153551487983202,"dry"
494.002402927136,0.153482177149693,"dry"
495.002402927136,0.153486928894989,"dry"
496.002402927136,0.153379182254732,"dry"
497.002402927136,0.153207338966985,"dry"
498.002402927136,0.153040176126589,"dry"
499.002402927136,0.152910951478928,"dry"
500.002402927136,0.152866273336659,"dry"
501.002402927136,0.15289112841516,"dry"
502.002402927136,0.152952323456375,"dry"
503.002402927136,0.153062274230764,"dry"
504.002402927136,0.153243326417712,"dry"
