File,Reading No,ID,AQ,Long,Latitude,Mn_K,Co_K,Ni_K,Zn_K,Mn,Co,Ni,Zn,xcoord,ycoord,density1,SoilType1
XL3-86715-richard,"3495",XL3-86715-richard-3495,"333995",146.250843000000003,-18.915255330000001,"0","0","0","147",Normal,Normal,Normal,Normal,1053546.08676941,7900310.53465571,3,"9"
XL3-86715-richard,"3464",XL3-86715-richard-3464,"333997",145.392777800000005,-17.261388889999999,"0","0","0","229",Normal,Normal,Normal,Normal,967308.288093236,8086205.36376863,3,"3"
XL3-86715-richard,"3661",XL3-86715-richard-3661,"333998",150.750801599999988,-23.081892509999999,"0","0","0","0",Normal,Normal,Normal,Normal,1502044.11696135,7413764.75351795,3,"10"
XL3-86715-richard,"3623",XL3-86715-richard-3623,"333999",148.750819100000001,-20.915240099999998,"0","0","0","0",Normal,Normal,Normal,Normal,1307835.77451166,7667643.66661312,3,"2"
XL3-86715-richard,"3454",XL3-86715-richard-3454,"334000",145.392777800000005,-17.261388889999999,"162","0","0","0",Normal,Normal,Normal,Normal,967308.288093236,8086205.36376863,3,"3"
XL3-86715-richard,"3836",XL3-86715-richard-3836,"334115",152.584120399999989,-25.415212149999999,"0","0","0","0",Normal,Normal,Normal,Normal,1670050.26765579,7137846.08043428,3,"2"
XL3-86715-richard,"3946",XL3-86715-richard-3946,"334123",152.599444400000010,-25.203611110000001,"186","0","0","0",Normal,Normal,Normal,Normal,1673695.00757235,7161447.77224905,3,"10"
XL3-86715-richard,"3938",XL3-86715-richard-3938,"334124",152.425788699999998,-25.290213120000001,"0","0","0","0",Normal,Normal,Normal,Normal,1655135.59353101,7153272.95879864,3,"7"
XL3-86715-richard,"3939",XL3-86715-richard-3939,"334124",152.425788699999998,-25.290213120000001,"0","0","0","0",Normal,Normal,Normal,Normal,1655135.59353101,7153272.95879864,3,"7"
XL3-86715-richard,"3980",XL3-86715-richard-3980,"334126",153.084122100000002,-27.081873139999999,"302","0","0","0",Normal,Normal,Normal,Normal,1703300.56722646,6946160.12650443,3,"9"
XL3-86715-richard,"3657",XL3-86715-richard-3657,"334429",150.750803100000013,-23.415224869999999,"0","0","0","0",Normal,Normal,Normal,Normal,1499515.65122884,7376491.7895892,2,"3"
XL3-86715-richard,"3731",XL3-86715-richard-3731,"334430",153.084122100000002,-27.081873139999999,"0","0","0","0",Normal,Normal,Normal,Normal,1703300.56722646,6946160.12650443,3,"9"
XL3-86715-richard,"3658",XL3-86715-richard-3658,"334431",151.417464400000000,-24.248553260000001,"408","0","0","0",Normal,Normal,Normal,Normal,1561423.91404755,7278328.16550893,3,"3"
